[11-10-2021 22:37:21] >> DELETED ./log.txt File => Success     > null = 86:31 => file:///home/pi/terrarium/backend/data-manage.mjs

[11-10-2021 22:37:21] Terrarium Server Restarted
Initialization Complete
     > null = 415:1 => file:///home/pi/terrarium/terrarium.mjs

-> Email Sent Successfully
[11-10-2021 22:38:05] [#2] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-10-2021 22:38:17] [#1] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-11-2021 2:17:44] MEMORY REPORTING :: Usage-5m: 148.734375 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.1300,0.0600,0.0100 | Time: 13207.537960577

[11-11-2021 2:22:44] MEMORY REPORTING :: Usage-5m: 148.7265625 | Total Memory-5m: 923.20703125 | Load-5m: 0.08 | Total Load-5m: 0.1300,0.0800,0.0100 | Time: 13507.538006266

[11-11-2021 2:27:44] MEMORY REPORTING :: Usage-5m: 148.7265625 | Total Memory-5m: 923.20703125 | Load-5m: 0.07 | Total Load-5m: 0.0500,0.0700,0.0100 | Time: 13807.538566918

[11-11-2021 2:32:44] MEMORY REPORTING :: Usage-5m: 148.7265625 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 14107.539481125

[11-11-2021 2:37:44] MEMORY REPORTING :: Usage-5m: 148.2421875 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 14407.540269036

[11-11-2021 2:42:44] MEMORY REPORTING :: Usage-5m: 148.48828125 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0200,0.0100,0.0000 | Time: 14707.552337658

[11-11-2021 2:47:44] MEMORY REPORTING :: Usage-5m: 148.47265625 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0300,0.0100,0.0000 | Time: 15007.552539342

[11-11-2021 2:52:44] MEMORY REPORTING :: Usage-5m: 148.47265625 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 15307.552936592

[11-11-2021 2:57:44] MEMORY REPORTING :: Usage-5m: 147.95703125 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 15607.554256745

[11-11-2021 3:02:44] MEMORY REPORTING :: Usage-5m: 147.98828125 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0600,0.0100,0.0000 | Time: 15907.554795921

[11-11-2021 3:07:44] MEMORY REPORTING :: Usage-5m: 147.25 | Total Memory-5m: 923.20703125 | Load-5m: 0.04 | Total Load-5m: 0.0900,0.0400,0.0000 | Time: 16207.555090474

[11-11-2021 3:12:44] MEMORY REPORTING :: Usage-5m: 147.25 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0700,0.0500,0.0000 | Time: 16507.55556345

[11-11-2021 3:17:44] MEMORY REPORTING :: Usage-5m: 147.25 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.0500,0.0600,0.0100 | Time: 16807.556424407

[11-11-2021 3:22:44] MEMORY REPORTING :: Usage-5m: 147.2578125 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 17107.556496745

[11-11-2021 3:27:44] MEMORY REPORTING :: Usage-5m: 147.265625 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 17407.55669744

[11-11-2021 3:32:44] MEMORY REPORTING :: Usage-5m: 147.25 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 17707.557266098

[11-11-2021 3:37:44] MEMORY REPORTING :: Usage-5m: 146.51171875 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 18007.556842126

[11-11-2021 3:42:44] MEMORY REPORTING :: Usage-5m: 146.51953125 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0000,0.0100,0.0000 | Time: 18307.556710784

[11-11-2021 3:47:44] MEMORY REPORTING :: Usage-5m: 146.51953125 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0700,0.0500,0.0100 | Time: 18607.557329796

[11-11-2021 3:52:44] MEMORY REPORTING :: Usage-5m: 146.51953125 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.0600,0.0600,0.0200 | Time: 18907.5565915

[11-11-2021 3:57:44] MEMORY REPORTING :: Usage-5m: 146.51953125 | Total Memory-5m: 923.20703125 | Load-5m: 0.07 | Total Load-5m: 0.0400,0.0700,0.0300 | Time: 19207.557940888

[11-11-2021 4:02:44] MEMORY REPORTING :: Usage-5m: 146.28125 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0200,0.0500,0.0200 | Time: 19507.558223669

[11-11-2021 4:07:44] MEMORY REPORTING :: Usage-5m: 145.78125 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0200,0.0200,0.0000 | Time: 19807.558429915

[11-11-2021 4:12:44] MEMORY REPORTING :: Usage-5m: 145.78125 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0100,0.0200,0.0000 | Time: 20107.55897809

[11-11-2021 4:17:44] MEMORY REPORTING :: Usage-5m: 145.2734375 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 20407.559418239

[11-11-2021 4:22:44] MEMORY REPORTING :: Usage-5m: 145.28125 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.1500,0.0500,0.0100 | Time: 20707.558874223

[11-11-2021 4:27:44] MEMORY REPORTING :: Usage-5m: 145.2734375 | Total Memory-5m: 923.20703125 | Load-5m: 0.07 | Total Load-5m: 0.0500,0.0700,0.0200 | Time: 21007.559536397

[11-11-2021 4:32:44] MEMORY REPORTING :: Usage-5m: 145.2890625 | Total Memory-5m: 923.20703125 | Load-5m: 0.08 | Total Load-5m: 0.1000,0.0800,0.0300 | Time: 21307.560493027

[11-11-2021 4:37:44] MEMORY REPORTING :: Usage-5m: 144.78125 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0400,0.0500,0.0100 | Time: 21607.560188344

[11-11-2021 4:42:44] MEMORY REPORTING :: Usage-5m: 145.04296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.04 | Total Load-5m: 0.0800,0.0400,0.0000 | Time: 21907.560346842

[11-11-2021 4:47:44] MEMORY REPORTING :: Usage-5m: 145.02734375 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0000,0.0100,0.0000 | Time: 22207.560239528

[11-11-2021 4:52:44] MEMORY REPORTING :: Usage-5m: 145.04296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0400,0.0300,0.0000 | Time: 22507.5605384

[11-11-2021 4:57:44] MEMORY REPORTING :: Usage-5m: 145.04296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 22807.561320979

